mt20id,prfnm,prfpdfrom,prfpdto,시설명,총객석수,시(도),구(군),주소
PF256393,스프링스 X 데킬라올드패션드: Happy New Rock'n'Roll,2025.01.10,2025.01.10,스페이스한강,50,서울,마포구,서울특별시 마포구 와우산로 128(창전동)
PF256375,"롤링 30주년 기념 공연, 행로난 콘서트: 심장의 언어",2025.01.24,2025.01.24,롤링홀,200,서울,마포구,서울특별시 마포구 어울마당로 35 (서교동) 지하 1층
PF256373,프로젝트 우리 앨범 발매 콘서트,2025.01.04,2025.01.04,플렉스홀 3호점,0,서울,마포구,서울특별시 마포구 독막로 68 (상수동)
PF256368,"먼데이프로젝트 시즌8, My Universe: 정효빈 단독 콘서트",2025.01.13,2025.01.13,클럽온에어,0,서울,마포구,서울특별시 마포구 잔다리로 44(서교동)
PF256366,"먼데이프로젝트 시즌8, 심아일랜드 단독 콘서트: Our Universe Party",2025.01.16,2025.01.16,벨로주 [홍대] (구. 왓에버),123,서울,마포구,서울특별시 마포구 잔다리로 46 (서교동)
PF256363,"78 LIVE, 손을 모아",2025.01.23,2025.01.23,엠피엠지,30,서울,마포구,서울특별시 마포구 서강로 78 (창전동)
PF256358,Loopy Live Concer: HOUSE [서울],2025.02.01,2025.02.02,스케치홀 (구.소극장 선물 1관),20,서울,종로구,서울특별시 종로구 동숭길 145 (동숭동)
PF256337,"ONEUS 2ND WORLD TOUR, La Dolce Vita Final in Seoul",2025.02.01,2025.02.02,세종대학교 대양홀,2029,서울,광진구,서울특별시 광진구 능동로 209 (군자동)
PF256336,"LUCKLIFE, Wishes Come True in Korea: 바라거나 이루어지거나",2025.03.08,2025.03.08,무신사 개러지 (구. 왓챠홀),144,서울,마포구,서울특별시 마포구 잔다리로 32(서교동)
PF256334,대학가요제 TOP5 전국투어 콘서트 [서울],2025.02.08,2025.02.09,예스24 라이브홀 (구. 악스코리아),1051,서울,광진구,서울특별시 광진구 구천면로 20 (광장동)
PF256330,JOY콘서트: 보이스 오브 스프링,2025.02.01,2025.02.01,이화여자대학교 대강당,2900,서울,서대문구,서울특별시 서대문구 이화여대길 52 (대현동) 
PF256323,수상한스테이지 (01.17),2025.01.17,2025.01.17,수상한창고,35,서울,금천구,서울특별시 금천구 금하로24길 7(시흥동)
PF256318,"1 to 10 레전드 콘서트, EP 10: 김경호 단독콘서트",2025.02.09,2025.02.09,연세대학교 대강당,1641,서울,서대문구,서울특별시 서대문구 연세로 50 (신촌동)
PF256313,"1 to 10 레전드 콘서트, EP 09: 김현철 단독콘서트",2025.02.08,2025.02.08,연세대학교 대강당,1641,서울,서대문구,서울특별시 서대문구 연세로 50 (신촌동)
PF256310,장재훈 1st EP: THE COLORS 발매 기념 공연,2025.01.18,2025.01.18,구름아래소극장,200,서울,마포구,서울특별시 마포구 와우산로29가길 15 (서교동)
PF256297,"78LIVE, UNXL",2025.01.09,2025.01.09,엠피엠지,30,서울,마포구,서울특별시 마포구 서강로 78 (창전동)
PF256293,"보수동쿨러 마지막공연, 커다란 환호를 보내 [서울]",2025.01.03,2025.01.03,벨로주 [홍대] (구. 왓에버),123,서울,마포구,서울특별시 마포구 잔다리로 46 (서교동)
PF256274,수상한스테이지 (01.03),2025.01.03,2025.01.03,수상한창고,35,서울,금천구,서울특별시 금천구 금하로24길 7(시흥동)
PF256265,전자음악가 김도언 공연: LIGHT MUSIC NIGHT,2024.12.28,2024.12.28,cafe heulg,0,서울,용산구,서울특별시 용산구 한강대로49길 14 (한강로2가)
PF256260,"케이시 콘서트, 아홉번째 겨울: 사랑의 편린",2025.01.25,2025.01.26,노들섬,1072,서울,용산구,서울특별시 용산구 양녕로 445 (이촌동)
PF256259,이범준 단독 콘서트: BOYHOOD,2025.01.05,2025.01.05,플렉스홀 3호점,0,서울,마포구,서울특별시 마포구 독막로 68 (상수동)
PF256257,"어썸스테이지, 권진아",2025.01.19,2025.01.19,KBS스포츠월드(아레나),2222,서울,강서구,서울특별시 강서구 공항대로 376 (화곡동) kbs스포츠월드
PF256255,"어썸스테이지, CNBLUE",2025.01.18,2025.01.18,KBS스포츠월드(아레나),2222,서울,강서구,서울특별시 강서구 공항대로 376 (화곡동) kbs스포츠월드
PF256247,YENA 1ST CONCERT: 네모로부터 시작하는 이세계! 여행,2025.01.25,2025.01.26,연세대학교 대강당,1641,서울,서대문구,서울특별시 서대문구 연세로 50 (신촌동)
PF256236,"롤링 30주년 기념 공연, 적란운 단독 콘서트: 달의 방향",2025.01.23,2025.01.23,롤링홀,200,서울,마포구,서울특별시 마포구 어울마당로 35 (서교동) 지하 1층
PF256206,YUKO Last Live: サヨナラの意味,2025.01.02,2025.01.02,아틀리에홀,0,서울,마포구,서울특별시 마포구 독막로19길 46 (상수동)
PF256204,"TONE STUDIO LIVE, 고고학 (GOGOHAWK) 단독공연",2025.01.25,2025.01.26,톤스튜디오 서울,39,서울,마포구,서울특별시 마포구 성미산로 64-5 (성산동)
PF256171,"롤링 30주년 기념 공연, 잠비나이 콘서트: flowers and trees with support act ANDOR",2025.01.19,2025.01.19,롤링홀,200,서울,마포구,서울특별시 마포구 어울마당로 35 (서교동) 지하 1층
PF256164,About Tmmm: 틈에 관하여,2025.01.15,2025.01.15,살롱 문보우,80,서울,마포구,서울특별시 마포구 잔다리로 113 (서교동)
PF256151,Kep1er FAN-CON TOUR: BEYOND THE STAR [서울],2025.02.15,2025.02.16,성신여자대학교 운정그린캠퍼스,800,서울,강북구,서울특별시 강북구 도봉로76가길 55 (미아동)
PF256132,THE BRIDGE 서울 콘서트,2025.01.09,2025.01.09,JCC 아트센터,175,서울,종로구,서울특별시 종로구 창경궁로35길 29 (혜화동) JCC 아트센터
PF256127,적란운 X 행로난 X To More Raw new year concert: ON,2025.01.04,2025.01.04,CJ아지트 광흥창,250,서울,마포구,서울특별시 마포구 창전로 14 (신정동) CJ아지트
PF256123,KIMCHIKURA VOL.12,2025.01.26,2025.01.26,현대카드 언더스테이지,205,서울,용산구,서울특별시 용산구 이태원로 246 (한남동)
PF256121,KENTA SANGGYUN 6th Anniversary FANCON: FREQUENCY,2025.01.05,2025.01.05,예스24 원더로크홀,360,서울,서대문구,서울특별시 서대문구 신촌로 129 (창천동)
PF256119,사마라 조이 첫 내한공연,2025.02.16,2025.02.16,마포아트센터,1325,서울,마포구,서울특별시 마포구 대흥로20길 28 (대흥동)
PF256113,swingBY: 중력가속도,2024.12.28,2024.12.28,카세트 스튜디오,8,서울,마포구,서울특별시 마포구 성미산로 52 (성산동)
PF256112,"오현우 첫번째 콘서트: 오늘, 현재 우리의 시간",2025.01.18,2025.01.18,스페이스브릭 (SPACE BRICK),60,서울,마포구,서울특별시 마포구 잔다리로 31(서교동)
PF256080,KIM JAE JOONG Asia Tour Concert J-Party: Home [서울],2025.01.25,2025.01.26,KBS스포츠월드(아레나),2222,서울,강서구,서울특별시 강서구 공항대로 376 (화곡동) kbs스포츠월드
PF256078,"롤링 30주년 기념 공연: 허클베리피 단독 콘서트, Storyteller: Page 18",2025.01.18,2025.01.18,롤링홀,200,서울,마포구,서울특별시 마포구 어울마당로 35 (서교동) 지하 1층
PF256077,"REBORN, 싱어송라이터 요셉 쇼케이스",2024.12.27,2024.12.27,선릉문화공간 제이드409,100,서울,강남구,서울특별시 강남구 테헤란로 409(삼성동)
PF256072,COUNTDOWN,2024.12.31,2024.12.31,아틀리에홀,0,서울,마포구,서울특별시 마포구 독막로19길 46 (상수동)
PF256060,"컬러풀 스테이지 #7, 홈존 & 블루디",2025.01.17,2025.01.17,무신사 개러지 (구. 왓챠홀),144,서울,마포구,서울특별시 마포구 잔다리로 32(서교동)
PF256057,"롤링 30주년 기념 공연, 캐치더영 단독 콘서트: Loud And Proud",2025.01.17,2025.01.17,롤링홀,200,서울,마포구,서울특별시 마포구 어울마당로 35 (서교동) 지하 1층
PF256025,"문래재즈IN, 송년의 밤 with 마인드 콜렉티브",2024.12.31,2024.12.31,문래재즈IN,60,서울,영등포구,서울특별시 영등포구 도림로 475 (문래동4가)
PF256015,옥타바리움 1주년 감사공연,2025.01.09,2025.01.12,옥타바리움 라이브홀,70,서울,마포구,서울특별시 마포구 와우산로18길 16 (서교동)
PF256003,"롤링 30주년 기념 공연, 극동아시아타이거즈 단독 콘서트: 몽유호원",2025.01.16,2025.01.16,롤링홀,200,서울,마포구,서울특별시 마포구 어울마당로 35 (서교동) 지하 1층
PF255995,Friday hiphop show: HAPPY NEW YEAR SPECIAL,2025.01.03,2025.01.03,스페이스브릭 (SPACE BRICK),60,서울,마포구,서울특별시 마포구 잔다리로 31(서교동)
PF255976,최준호 1st Fan Concert: Joon's Story,2025.01.04,2025.01.04,온맘씨어터,100,서울,마포구,서울특별시 마포구 어울마당로 94-8 (서교동)
PF255974,YUNA Birthday Live: 青龍記,2025.01.19,2025.01.19,아틀리에홀,0,서울,마포구,서울특별시 마포구 독막로19길 46 (상수동)
PF255970,앙투안 보이어 & 김여레: You and I,2025.01.17,2025.01.17,JCC 아트센터,175,서울,종로구,서울특별시 종로구 창경궁로35길 29 (혜화동) JCC 아트센터
PF255958,HAPEEZ 데뷔공연: Magnificent Five,2025.01.02,2025.01.02,드림홀,150,서울,마포구,서울특별시 마포구 양화로 64 (서교동)
PF255955,리도어: Tree Opening Day *Snow,2025.01.04,2025.01.04,성동구 연무장길 28-16 (구.타임애프터타임),0,서울,성동구,서울특별시 성동구 연무장길 28-16 (성수동2가)
PF255948,이승환 콘서트: HEAVEN [서울],2025.03.15,2025.03.16,올림픽공원,41376,서울,송파구,서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)
