mt20id,prfnm,prfpdfrom,prfpdto,fcltynm,poster,area,genrenm,openrun,prfstate
PF241821,"華Doll* (하나돌) THE STAGE, Another Universe Part.Ⅰ: 무대공연 영상 상영회",2024.06.15,2024.06.16,대원 팝콘D 스퀘어,http://www.kopis.or.kr/upload/pfmPoster/PF_PF241821_240527_164637.jpg,,대중음악,N,공연완료
PF241815,LAY ZHANG WORLD TOUR GRANDLINE4: STEP [서울],2024.06.22,2024.06.23,올림픽공원,http://www.kopis.or.kr/upload/pfmPoster/PF_PF241815_240527_155351.jpg,,대중음악,N,공연완료
PF241800,정홍일 라이브 콘서트 (6.15),2024.06.15,2024.06.15,복합문화공간에무,http://www.kopis.or.kr/upload/pfmPoster/PF_PF241800_240527_143959.jpg,,대중음악,N,공연완료
PF241798,"이적 Curated 05, 김필선",2024.06.15,2024.06.16,현대카드 언더스테이지,http://www.kopis.or.kr/upload/pfmPoster/PF_PF241798_240527_143504.JPG,,대중음악,N,공연완료
PF241792,"김유진, EXTRAORDINARY",2024.06.29,2024.06.29,벨로주 [홍대] (구. 왓에버),http://www.kopis.or.kr/upload/pfmPoster/PF_PF241792_240527_141715.gif,,대중음악,N,공연완료
PF241791,"은곡마을 오후 두시의 재즈, 임채희 퀄텟",2024.06.02,2024.06.02,야기스튜디오,http://www.kopis.or.kr/upload/pfmPoster/PF_PF241791_240527_141537.png,,대중음악,N,공연완료
PF241788,"EVENIF Ⅹ 12BH, EVEN IF WE WANT TO BE HIGH",2024.06.16,2024.06.16,생기 스튜디오,http://www.kopis.or.kr/upload/pfmPoster/PF_PF241788_240527_140830.png,,대중음악,N,공연완료
PF241787,박인희 콘서트 (앵콜),2024.09.21,2024.09.21,연세대학교 대강당,http://www.kopis.or.kr/upload/pfmPoster/PF_PF241787_240527_140110.jpg,,대중음악,N,공연완료
PF241784,"BAND DALDAM concert, 동아리",2024.06.22,2024.06.22,KT&G 상상마당 라이브홀 [마포],http://www.kopis.or.kr/upload/pfmPoster/PF_PF241784_240527_135448.png,,대중음악,N,공연완료
PF241742,모브닝 단독 콘서트: 한숨의 모양,2024.06.15,2024.06.15,KT&G 상상마당 라이브홀 [마포],http://www.kopis.or.kr/upload/pfmPoster/PF_PF241742_240527_102731.jpg,,대중음악,N,공연완료
PF241735,UVERworld & CNBLUE SUMMER LIVE IN JAPAN and KOREA UNLIMITED CHALLENGE,2024.07.27,2024.07.27,고려대학교 화정체육관,http://www.kopis.or.kr/upload/pfmPoster/PF_PF241735_240527_100125.jpg,,대중음악,N,공연완료
PF241718,EPEX 2nd FANCON: YOUTH DAYS,2024.07.27,2024.07.28,KBS스포츠월드(아레나),http://www.kopis.or.kr/upload/pfmPoster/PF_PF241718_240524_130420.gif,,대중음악,N,공연완료
PF241706,송해 2주기 추모음악회,2024.06.08,2024.06.08,송해아트홀,http://www.kopis.or.kr/upload/pfmPoster/PF_PF241706_240524_114043.gif,,대중음악,N,공연완료
PF241700,Rolling Quartz Concert: VICTORY: EP앨범 발매기념 단독 콘서트,2024.07.06,2024.07.06,웨스트브릿지 라이브홀,http://www.kopis.or.kr/upload/pfmPoster/PF_PF241700_240524_111407.jpg,,대중음악,N,공연완료
PF241699,"민강 단독 콘서트, BORNGARDEN",2024.06.06,2024.06.06,클럽온에어,http://www.kopis.or.kr/upload/pfmPoster/PF_PF241699_240524_111256.jpg,,대중음악,N,공연완료
PF241691,미나 오카베 내한공연 MINA OKABE LIVE IN SEOUL,2024.08.22,2024.08.22,무신사 개러지 (구. 왓챠홀),http://www.kopis.or.kr/upload/pfmPoster/PF_PF241691_240524_103829.gif,,대중음악,N,공연완료
PF241682,"JS with HOWON family, 뉴트로 뮤직 콘서트: 어셔 특집",2024.06.09,2024.06.09,살롱 문보우,http://www.kopis.or.kr/upload/pfmPoster/PF_PF241682_240524_101938.jpg,,대중음악,N,공연완료
PF241675,"먼데이프로젝트 IN 라이브클럽, 난파란 단독 콘서트",2024.06.13,2024.06.13,카페 언플러그드,http://www.kopis.or.kr/upload/pfmPoster/PF_PF241675_240524_100500.jpg,,대중음악,N,공연완료
PF241673,"김현창 첫 정규 앨범 단독 콘서트: 살아서 슬퍼야지, 그렇게 선명히 너를 사랑해야지",2024.06.29,2024.06.29,노들섬,http://www.kopis.or.kr/upload/pfmPoster/PF_PF241673_240524_095215.jpg,,대중음악,N,공연완료
PF241668,"롤링 29주년 기념 공연, 강 단독 콘서트: Pose",2024.06.27,2024.06.27,롤링홀,http://www.kopis.or.kr/upload/pfmPoster/PF_PF241668_240524_094120.jpg,,대중음악,N,공연완료
PF241646,RAP HOUSE VOL.30,2024.05.24,2024.05.24,"플렉스라운지 (구. 스테이라운지, 구. 인디팍)",http://www.kopis.or.kr/upload/pfmPoster/PF_PF241646_240523_132705.gif,,대중음악,N,공연완료
PF241645,DEAD ROCK WORKING FEST (데드락워킹) : Work & Music Balance,2024.06.15,2024.06.15,컨벤트펍 (The convent Live Pub),http://www.kopis.or.kr/upload/pfmPoster/PF_PF241645_240523_132115.gif,,대중음악,N,공연완료
PF241640,"정밀아 단독공연, 초여름의 물결",2024.06.22,2024.06.22,흰물결아트센터,http://www.kopis.or.kr/upload/pfmPoster/PF_PF241640_240523_130250.jfif,,대중음악,N,공연완료
PF241632,NAM GYURI FAN CONCERT: Lux,2024.06.09,2024.06.09,GB성암아트홀,http://www.kopis.or.kr/upload/pfmPoster/PF_PF241632_240523_122952.png,,대중음악,N,공연완료
PF241625,"이지형 콘서트, 티파티",2024.06.22,2024.06.22,연남장,http://www.kopis.or.kr/upload/pfmPoster/PF_PF241625_240523_114912.jpg,,대중음악,N,공연완료
PF241612,"온 단독콘서트, 무아몽중",2024.06.22,2024.06.22,"오아스페이스(구, 스페이스 홍)",http://www.kopis.or.kr/upload/pfmPoster/PF_PF241612_240523_111226.jfif,,대중음악,N,공연완료
PF241593,"먼데이프로젝트 시즌7, OUR SUMMER: 아디오스 오디오 단독 콘서트",2024.06.10,2024.06.10,벨로주 [홍대] (구. 왓에버),http://www.kopis.or.kr/upload/pfmPoster/PF_PF241593_240523_102608.jpg,,대중음악,N,공연완료
PF241575,FRISK WEEK 5: MARCUS L,2024.06.01,2024.06.01,오프더레코드(OFF THE RECORD),http://www.kopis.or.kr/upload/pfmPoster/PF_PF241575_240523_093343.jpg,,대중음악,N,공연완료
PF241555,CHA EUN-WOO Just One 10 Minute: Mystery Elevator [서울 (앵콜) ],2024.07.06,2024.07.06,올림픽공원,http://www.kopis.or.kr/upload/pfmPoster/PF_PF241555_240522_155816.gif,,대중음악,N,공연완료
PF241536,"롤링 29주년 기념 공연, 영소 단독 콘서트: STAY",2024.06.15,2024.06.16,롤링홀,http://www.kopis.or.kr/upload/pfmPoster/PF_PF241536_240522_150307.jfif,,대중음악,N,공연완료
PF241535,HBO Vol. 3,2024.06.08,2024.06.08,프리즘홀 (프리즘플러스),http://www.kopis.or.kr/upload/pfmPoster/PF_PF241535_240522_150244.png,,대중음악,N,공연완료
